quarter,net_lending_borrowing,cash_rate,rate_change
2015Q1,11232.0,2.338709677419355,
2015Q2,-155.0,2.092741935483871,-0.2459677419354839
2015Q3,21820.0,2.0,-0.092741935483871
2015Q4,-4987.0,2.0,0.0
2016Q1,6449.0,2.0,0.0
2016Q2,-7346.0,1.8373015873015872,-0.1626984126984128
2016Q3,18016.0,1.5871212121212122,-0.250180375180375
2016Q4,-7132.0,1.5,-0.0871212121212121
2017Q1,5002.0,1.5,0.0
2017Q2,-10615.0,1.5,0.0
2017Q3,16145.0,1.5,0.0
2017Q4,-7483.0,1.5,0.0
2018Q1,6233.0,1.5,0.0
2018Q2,-12034.0,1.5,0.0
2018Q3,20134.0,1.5,0.0
2018Q4,-3879.0,1.5,0.0
2019Q1,13486.0,1.5,0.0
2019Q2,-7244.0,1.430327868852459,-0.069672131147541
2019Q3,34080.0,1.0075757575757576,-0.4227521112767014
2019Q4,2886.0,0.75390625,-0.2536695075757575
2020Q1,23579.0,0.6388888888888888,-0.1150173611111111
2020Q2,57668.0,0.25,-0.3888888888888888
2020Q3,80490.0,0.25,0.0
2020Q4,28777.0,0.15625,-0.09375
2021Q1,37849.0,0.1,-0.0562499999999999
2021Q2,15301.0,0.1,0.0
2021Q3,80238.0,0.1,0.0
2021Q4,24175.0,0.1,0.0
2022Q1,30116.0,0.1,0.0
2022Q2,8331.0,0.3991803278688524,0.2991803278688524
2022Q3,40639.0,1.7807692307692309,1.3815889029003785
2022Q4,-7630.0,2.8182539682539685,1.0374847374847378
2023Q1,5513.0,3.3222222222222224,0.503968253968254
2023Q2,-14972.0,3.841803278688524,0.5195810564663019
2023Q3,24842.0,4.1,0.2581967213114753
2023Q4,-5755.0,4.242857142857142,0.1428571428571423
2024Q1,6195.0,4.35,0.1071428571428576
2024Q2,-11103.0,4.35,0.0
2024Q3,36641.0,4.35,0.0
2024Q4,-516.0,4.35,0.0
2025Q1,22291.0,4.233064516129032,-0.1169354838709679
2025Q2,2506.0,3.985245901639344,-0.2478186144896876
2025Q3,52283.0,3.7174242424242423,-0.2678216592151017
