quarter,net_lending_borrowing
2015Q1,11232.0
2015Q2,-155.0
2015Q3,21820.0
2015Q4,-4987.0
2016Q1,6449.0
2016Q2,-7346.0
2016Q3,18016.0
2016Q4,-7132.0
2017Q1,5002.0
2017Q2,-10615.0
2017Q3,16145.0
2017Q4,-7483.0
2018Q1,6233.0
2018Q2,-12034.0
2018Q3,20134.0
2018Q4,-3879.0
2019Q1,13486.0
2019Q2,-7244.0
2019Q3,34080.0
2019Q4,2886.0
2020Q1,23579.0
2020Q2,57668.0
2020Q3,80490.0
2020Q4,28777.0
2021Q1,37849.0
2021Q2,15301.0
2021Q3,80238.0
2021Q4,24175.0
2022Q1,30116.0
2022Q2,8331.0
2022Q3,40639.0
2022Q4,-7630.0
2023Q1,5513.0
2023Q2,-14972.0
2023Q3,24842.0
2023Q4,-5755.0
2024Q1,6195.0
2024Q2,-11103.0
2024Q3,36641.0
2024Q4,-516.0
2025Q1,22291.0
2025Q2,2506.0
2025Q3,52283.0
